"Ticker","Sector","Industry","Shares Float","Short Ratio","Average True Range","All-Time High","Change from Open","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
"A","Healthcare","Diagnostics & Research",290.54,2.08,2.53,-29.24%,0.00%,1999.46,0.00,75,127.07,127.07,127.08,127.07,127.07,0.00%
"AA","Basic Materials","Aluminum",177.54,2.22,1.51,-60.13%,-0.76%,5434.03,0.09,23962,38.46,39.41,39.60,39.10,39.11,1.69%
"AAA","Financial","Exchange Traded Fund",,,0.10,-0.47%,0.00%,7.90,0.01,2,25.07,25.28,25.28,25.28,25.28,0.84%
"AAAU","Financial","Exchange Traded Fund",,,0.25,-2.63%,-0.38%,2596.17,0.00,598,23.46,23.58,23.58,23.49,23.49,0.13%
"AACG","Consumer Defensive","Education & Training Services",8.84,0.91,0.05,-95.60%,0.00%,14.93,0.01,5,0.82,0.87,0.87,0.87,0.87,6.36%
"AACI","Financial","Shell Companies",1.58,0.00,0.10,-8.22%,0.01%,29.11,1.23,1797,11.50,11.50,11.50,11.50,11.50,0.00%
"AACT","Financial","Shell Companies",50.00,0.01,0.02,-0.60%,0.00%,298.48,0.00,0,10.69,10.69,10.69,10.69,10.69,0.00%
"AADI","Healthcare","Biotechnology",17.48,3.34,0.10,-98.59%,0.00%,223.62,0.00,0,1.43,1.43,1.43,1.43,1.43,0.00%
"AADR","Financial","Exchange Traded Fund",,,0.55,-8.90%,0.00%,0.91,0.00,0,63.19,63.19,63.19,63.19,63.19,0.00%
"AAGR","Consumer Defensive","Farm Products",15.65,0.45,0.04,-98.54%,-3.94%,1352.33,0.91,61684,0.17,0.17,0.17,0.17,0.17,-4.27%
"AAL","Industrials","Airlines",646.72,2.66,0.32,-82.04%,-1.39%,32839.56,1.60,2620257,11.15,10.76,11.22,10.56,10.61,-4.84%
"AAMC","Financial","Mortgage Finance",0.86,2.33,0.29,-99.74%,0.00%,7.52,0.00,0,1.85,1.85,1.85,1.85,1.85,0.00%
"AAME","Financial","Insurance - Life",3.86,0.06,0.09,-90.23%,0.00%,4.86,0.00,0,1.56,1.56,1.56,1.56,1.56,0.00%
"AAN","Industrials","Rental & Leasing Services",30.21,1.67,0.20,-73.46%,0.00%,580.52,0.00,0,9.95,9.95,9.95,9.95,9.95,0.00%
"AAOI","Technology","Communication Equipment",35.51,5.43,0.65,-91.25%,0.00%,1897.94,0.02,2163,9.01,9.05,9.05,9.04,9.05,0.44%
"AAON","Industrials","Building Products & Equipment",66.76,3.71,2.62,-11.42%,0.00%,1076.13,0.00,0,85.34,85.34,85.34,85.34,85.34,0.00%
"AAP","Consumer Cyclical","Specialty Retail",58.94,4.87,1.95,-76.07%,-0.77%,1529.62,0.00,29,58.74,58.98,58.99,58.53,58.53,-0.37%
"AAPB","Financial","Exchange Traded Fund",,,1.03,-0.65%,-0.45%,225.75,0.92,10432,30.88,30.83,30.90,30.62,30.69,-0.62%
"AAPD","Financial","Exchange Traded Fund",,,0.39,-47.50%,-0.14%,297.87,0.14,2136,16.51,16.61,16.61,16.59,16.59,0.46%
"AAPL","Technology","Consumer Electronics",15319.90,1.90,4.52,-0.49%,-0.29%,69745.71,0.09,301151,232.98,232.62,232.98,230.29,231.94,-0.44%
"AAPR","Financial","Exchange Traded Fund",,,0.09,0.00%,0.00%,47.47,0.00,0,25.51,25.51,25.51,25.51,25.51,0.00%
"AAPU","Financial","Exchange Traded Fund",,,1.35,-0.98%,-0.51%,897.78,0.46,20707,39.61,39.48,39.67,39.28,39.28,-0.83%
"AAPX","Financial","Exchange Traded Fund",,,1.17,-1.03%,-0.11%,37.87,0.21,405,35.97,35.64,35.79,35.60,35.60,-1.03%
