"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"CGBS","Crown LNG Holdings Ltd .","United Kingdom",32.43,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,0.26%,-1.04%,0.27%,0.27%,-2.40%,-2.92%,-2.40%,-3.94%,-8.04%,-8.04%,-55.90%,-68.78%,-67.78%,-66.85%,-63.58%,-67.12%,1.75,60.13%,31.70%,-55.02%,-63.87%,-65.74%,,-10.07%,18.66%,321.93,289.50,4660040,3.43,4.07,4.08,3.55,3.66,6.71%,
2,"MLGO","MicroAlgo Inc","China",27.85,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.30,0.00%,-0.27%,-1.61%,-1.87%,-2.40%,-1.35%,-3.17%,-5.43%,3.98%,3.98%,-42.81%,-16.44%,30.71%,-52.65%,-84.56%,-59.87%,2.75,40.44%,45.33%,-56.89%,-30.14%,-72.49%,,3.98%,2.33%,8718.83,2.70,1178982,3.44,3.52,4.13,3.49,3.66,6.40%,
3,"PHUN","Phunware Inc","USA",61.03,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,1.33%,0.53%,0.13%,-0.52%,0.62%,2.71%,-2.06%,-0.13%,-5.71%,-5.71%,32.40%,31.49%,4.54%,102.13%,-61.90%,85.37%,0.61,5.96%,7.59%,35.73%,22.64%,-8.14%,5/9/2024 4:30:00 PM,-7.32%,40.65%,364.42,163.24,2974334,5.83,8.20,8.90,7.03,7.60,30.36%,
4,"AMIX","Autonomix Medical Inc.","USA",26.50,8.19,56.40%,0.00%,0.18%,,0.39%,0.03,-0.68%,-3.39%,-8.42%,-2.74%,10.17%,39.63%,76.51%,76.51%,76.51%,76.51%,165.09%,0.02%,-50.69%,,,-72.18%,0.24,10.71%,21.16%,51.48%,-21.17%,-49.99%,,138.91%,-4.48%,465.28,452.22,10520587,0.62,0.59,1.57,0.58,1.41,128.20%,
5,"MIRA","Mira Pharmaceuticals Inc","USA",13.19,9.75,34.05%,0.17%,4.20%,,0.16%,0.02,-0.32%,-1.98%,-4.08%,-4.96%,-4.59%,-8.31%,-16.63%,-16.63%,41.90%,41.90%,62.85%,20.55%,-0.93%,-9.42%,,-15.04%,0.10,11.12%,7.87%,37.25%,21.54%,-40.86%,05/29/2024,41.90%,6.70%,114.26,2197.72,12555437,0.59,0.63,1.25,0.63,0.89,51.41%,
6,"MWG","Multi Ways Holdings Ltd","Singapore",19.38,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,-0.02%,-0.02%,1.35%,3.02%,3.22%,7.29%,3.92%,12.23%,17.63%,17.63%,39.92%,66.24%,100.77%,133.17%,2.20%,179.66%,0.08,24.24%,19.13%,67.86%,75.52%,95.38%,,21.08%,-2.61%,839.99,25.21,1058626,0.53,0.52,0.65,0.51,0.63,17.92%,
7,"CDT","Conduit Pharmaceuticals Inc","USA",21.28,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.07,-0.62%,-0.62%,-0.62%,-0.59%,1.19%,2.75%,-0.62%,0.42%,0.00%,0.00%,-42.36%,-86.60%,-90.94%,-93.57%,-97.25%,-93.67%,0.22,34.09%,31.28%,-72.22%,-86.71%,-90.25%,,0.00%,9.79%,259.24,18.40,238529,0.26,0.29,0.30,0.28,0.29,9.79%,
8,"DJT","Trump Media & Technology Group Corp.","USA",8718.25,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,5.22,-0.08%,-0.04%,-0.67%,-0.93%,0.61%,0.07%,1.01%,-0.43%,-3.27%,-3.27%,51.39%,12.14%,40.84%,171.28%,251.72%,162.29%,4.77,6.09%,10.69%,41.04%,10.04%,43.85%,5/20/2024 8:30:00 AM,-7.94%,61.41%,6832.51,36.76,12556574,30.89,49.86,54.47,37.40,45.90,48.59%,
9,"RUM","Rumble Inc","USA",1808.20,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.80,0.00%,-0.62%,-0.62%,-0.77%,0.31%,0.16%,-0.93%,-1.84%,-3.03%,-3.03%,12.26%,10.33%,0.79%,72.78%,-26.99%,42.76%,0.33,3.98%,4.13%,14.25%,2.62%,8.78%,5/14/2024 4:30:00 PM,-5.32%,13.97%,1138.40,11.88,676241,5.94,6.77,7.29,6.37,6.41,7.91%,
10,"OPTT","Ocean Power Technologies","USA",39.26,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,9.51,-0.96%,0.93%,4.08%,18.03%,18.03%,17.62%,18.74%,17.87%,19.89%,19.89%,8.47%,183.29%,82.43%,40.77%,-29.44%,37.34%,0.06,19.73%,21.78%,69.56%,104.60%,54.62%,7/25/2024 4:30:00 PM,19.89%,-1.25%,29053.24,2.04,2961619,0.37,0.36,0.44,0.36,0.43,18.39%,
