Timestamp,No.,Ticker,Company,Country,Market Cap,P/E,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Interest,Performance (1 Minute),Performance (2 Minutes),Performance (3 Minutes),Performance (5 Minutes),Performance (15 Minutes),Performance (30 Minutes),Performance (1 Hour),Performance (2 Hours),Performance (4 Hours),Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Earnings Date,Change from Open,Gap,Average Volume,Relative Volume,Volume,Prev Close,High,Low,Price,Change,After-Hours Close,After-Hours Change
2024-07-19 5:59:19,1,NAAS,Naas Technology Inc ADR,China,36.75,,4.15,0.95%,0.00%,13.63%,-49.55%,1.72%,0.07,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,108.31%,55.50%,-57.43%,-62.84%,-91.21%,-71.15%,1.35,58.80%,35.74%,131.25%,19.21%,-70.09%,5/9/2024 4:30:00 PM,-1.46%,10.01%,2098.54,4.12,431841,8.09,8.99,8.61,8.77,8.41%,,
2024-7-19 5:59:19,2,NVOS,Novo Integrated Sciences Inc,USA,12.19,,15.67,6.82%,0.00%,5.17%,8.10%,6.23%,0.98,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,34.50%,-11.45%,55.47%,5.96%,-39.07%,-11.68%,0.10,10.92%,13.29%,6.27%,3.58%,-33.32%,1/22/2024 4:30:00 PM,-1.77%,22.56%,7059.19,2.34,825473,0.60,0.74,0.73,0.73,20.39%,,
2024-7-19 5:59:19,3,SERV,Serve Robotics Inc,USA,179.93,,23.48,36.70%,0.46%,,,5.50%,1.29,2.54%,2.54%,2.54%,2.54%,2.54%,2.54%,2.54%,2.54%,2.54%,111.79%,136.59%,55.95%,,,-80.60%,0.45,9.32%,11.78%,127.17%,91.27%,29.21%,05/29/2024,8.50%,69.96%,638.12,92.24,2942908,2.63,4.86,4.47,4.85,84.41%,,
2024-7-19 5:59:19,4,SGD,Safe and Green Development Corp,USA,7.22,,8.94,44.26%,0.00%,1.69%,,4.79%,0.43,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.18%,5.68%,-28.52%,-37.48%,,-67.84%,0.04,10.54%,7.45%,11.25%,-6.60%,-54.47%,,1.65%,19.79%,3502.27,32.11,5623230,0.37,0.45,0.44,0.45,21.77%,,
2024-7-19 5:59:19,5,SXTP,60 Degrees Pharmaceuticals Inc,USA,4.15,,9.32,23.67%,8.48%,3.98%,,2.95%,0.27,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,38.37%,26.99%,37.84%,-53.66%,-89.71%,-66.70%,0.03,7.88%,9.38%,36.12%,28.64%,-27.62%,5/15/2024 8:30:00 AM,-0.35%,38.58%,760.44,159.52,6065100,0.25,0.34,0.34,0.34,38.09%,,
2024-7-19 5:59:19,6,UNCY,Unicycive Therapeutics Inc,USA,37.06,,63.30,26.12%,0.00%,21.53%,-2.92%,2.32%,1.47,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-12.61%,-33.03%,-60.32%,-49.69%,-65.40%,-50.16%,0.06,10.08%,14.78%,-13.72%,-41.33%,-52.80%,5/13/2024 4:30:00 PM,-1.70%,8.00%,889.21,8.05,357811,0.41,0.44,0.43,0.43,6.16%,,
2024-07-19 06:14:19,1,HE,"Hawaiian Electric Industries, Inc.",USA,1943.49,10.39,109.90,0.36%,0.00%,58.56%,0.37%,22.81%,25.07,0.11%,0.57%,0.69%,0.97%,-1.84%,-1.84%,-1.84%,-1.84%,-1.84%,68.94%,87.45%,72.58%,36.06%,-54.38%,24.17%,1.04,8.91%,7.02%,81.43%,72.85%,48.14%,5/10/2024 4:30:00 PM,0.46%,37.57%,3368.35,2.10,353160,12.75,17.95,17.24,17.62,38.20%,,
2024-07-19 06:14:19,2,NAAS,Naas Technology Inc ADR,China,36.58,,4.15,0.95%,0.00%,13.63%,-49.55%,1.72%,0.07,0.00%,0.00%,-0.11%,-0.57%,-0.34%,-0.34%,-0.34%,-0.34%,-0.34%,107.36%,54.79%,-57.62%,-63.01%,-91.25%,-71.28%,1.35,58.80%,35.74%,130.19%,18.66%,-70.22%,5/9/2024 4:30:00 PM,-1.91%,10.01%,2098.54,4.41,462218,8.09,8.99,8.61,8.73,7.91%,,
2024-07-19 06:14:19,3,NVOS,Novo Integrated Sciences Inc,USA,12.09,,15.67,6.82%,0.00%,5.17%,8.10%,6.23%,0.98,1.30%,1.30%,2.30%,4.23%,-0.81%,-0.81%,-0.81%,-0.81%,-0.81%,33.41%,-12.17%,54.20%,5.10%,-39.56%,-12.40%,0.10,10.92%,13.29%,5.41%,2.73%,-33.86%,1/22/2024 4:30:00 PM,-2.57%,22.56%,7059.19,2.97,1047642,0.60,0.74,0.69,0.72,19.41%,,
2024-07-19 06:14:19,4,S,SentinelOne Inc,USA,6695.42,,262.98,15.95%,-2.79%,58.82%,10.89%,4.31%,11.33,-0.65%,-0.65%,-0.93%,-0.05%,-1.20%,-1.20%,-1.20%,-1.20%,-1.20%,5.21%,17.84%,3.83%,-13.43%,37.98%,-22.01%,0.89,4.40%,3.84%,6.55%,7.25%,-2.13%,5/30/2024 4:30:00 PM,-1.29%,7.65%,4701.74,2.14,502704,20.14,21.68,21.40,21.40,6.26%,,
