"Ticker","Sector","Industry","Short Ratio","Average True Range","All-Time High","Change from Open","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
"A","Healthcare","Diagnostics & Research",1.46,2.79,-30.80%,-1.60%,1975.74,0.40,213853,126.07,126.29,125.92,124.16,124.27,-1.43%
"AA","Basic Materials","Aluminum",2.34,1.39,-57.96%,-0.69%,5449.94,0.40,587360,41.66,41.52,42.09,41.20,41.24,-1.02%
"AAA","Financial","Exchange Traded Fund",,0.09,-1.45%,-0.24%,7.95,0.06,137,25.06,25.09,25.09,25.09,25.03,-0.12%
"AAAU","Financial","Exchange Traded Fund",,0.27,-3.42%,-0.34%,2694.94,1.08,778131,23.33,23.38,23.46,23.29,23.30,-0.15%
"AACG","Consumer Defensive","Education & Training Services",0.73,0.05,-95.79%,0.29%,16.38,0.22,977,0.82,0.83,0.83,0.82,0.83,0.90%
"AACI","Financial","Shell Companies",0.03,0.11,-9.00%,0.00%,27.09,0.06,405,11.43,11.40,11.40,11.40,11.40,-0.20%
"AACT","Financial","Shell Companies",0.00,0.02,-0.70%,-0.18%,299.73,0.02,1258,10.68,10.70,10.69,10.69,10.68,0.00%
"AADI","Healthcare","Biotechnology",4.01,0.10,-98.63%,1.46%,228.29,0.78,48002,1.37,1.37,1.40,1.36,1.39,1.46%
"AADR","Financial","Exchange Traded Fund",,0.53,-9.80%,0.20%,0.93,0.44,108,62.09,62.44,62.44,62.44,62.56,0.77%
"AAGR","Consumer Defensive","Farm Products",0.31,0.04,-98.55%,-0.36%,1347.87,0.56,201028,0.17,0.17,0.17,0.17,0.17,-5.49%
"AAL","Industrials","Airlines",2.39,0.29,-81.37%,0.41%,33190.51,0.88,7836685,10.93,10.96,11.03,10.87,11.01,0.69%
"AAMC","Financial","Mortgage Finance",2.49,0.29,-99.70%,2.72%,7.57,0.03,51,2.14,2.04,2.04,2.04,2.10,-1.87%
"AAME","Financial","Insurance - Life",0.18,0.09,-90.29%,1.97%,4.84,3.73,4808,1.55,1.52,1.63,1.52,1.55,0.00%
"AAN","Industrials","Rental & Leasing Services",1.34,0.21,-73.35%,0.10%,558.77,0.63,94985,9.98,9.98,10.00,9.97,9.99,0.10%
"AAOI","Technology","Communication Equipment",5.39,0.68,-92.05%,-3.07%,1888.72,1.38,702857,8.54,8.48,8.97,8.21,8.22,-3.75%
"AAON","Industrials","Building Products & Equipment",3.73,2.54,-11.31%,-0.64%,1083.51,0.21,61303,85.99,85.99,86.44,85.12,85.44,-0.64%
"AAP","Consumer Cyclical","Specialty Retail",4.28,2.14,-76.28%,-2.12%,1534.02,0.38,158031,59.30,59.26,58.99,57.92,58.00,-2.19%
"AAPB","Financial","Exchange Traded Fund",,1.09,-1.50%,0.33%,221.80,1.74,104078,29.56,29.61,29.92,29.20,29.71,0.50%
"AAPD","Financial","Exchange Traded Fund",,0.41,-46.73%,-0.13%,295.59,1.40,111740,16.88,16.85,16.94,16.76,16.83,-0.30%
"AAPL","Technology","Consumer Electronics",2.21,4.68,0.19%,0.04%,69445.11,1.00,18783385,227.82,228.18,229.40,226.37,228.28,0.20%
"AAPR","Financial","Exchange Traded Fund",,0.09,-0.06%,0.05%,48.53,2.82,36458,25.46,25.44,25.48,25.43,25.45,-0.02%
"AAPU","Financial","Exchange Traded Fund",,1.43,0.34%,0.31%,875.01,2.43,571744,37.91,37.95,38.44,37.46,38.07,0.42%
"AAPX","Financial","Exchange Traded Fund",,1.22,0.61%,0.38%,37.60,1.71,17128,34.41,34.49,34.85,34.16,34.62,0.61%
"AAPY","Financial","Exchange Traded Fund",,0.20,0.06%,0.29%,1.39,2.34,869,27.43,27.36,27.50,27.49,27.44,0.06%
"AAT","Real Estate","REIT - Diversified",4.19,0.44,-55.66%,-0.09%,297.10,0.93,74409,21.98,21.86,22.04,21.84,21.84,-0.64%
"AAXJ","Financial","Exchange Traded Fund",,0.61,-27.48%,0.11%,438.89,0.15,17849,73.70,73.85,74.00,73.80,73.93,0.31%
"AB","Financial","Asset Management",5.41,0.62,-64.24%,0.55%,243.17,0.90,58558,33.68,33.76,33.95,33.62,33.95,0.80%
"ABAT","Basic Materials","Other Industrial Metals & Mining",10.72,0.10,-98.50%,-6.36%,500.43,1.29,174431,1.19,1.18,1.18,1.09,1.11,-7.14%
