"Ticker","Sector","Industry","Shares Float","Short Ratio","Average True Range","All-Time High","Change from Open","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
"A","Healthcare","Diagnostics & Research",290.54,2.08,2.66,-28.51%,-0.48%,1999.46,0.20,20347,127.07,128.99,128.89,128.80,128.38,1.03%
"AA","Basic Materials","Aluminum",177.54,2.22,1.57,-58.76%,1.18%,5434.03,0.39,106081,38.46,39.98,40.49,39.10,40.46,5.19%
"AAA","Financial","Exchange Traded Fund",,,0.10,-1.17%,0.00%,7.90,0.03,10,25.07,25.10,25.28,25.28,25.10,0.12%
"AAAU","Financial","Exchange Traded Fund",,,0.27,-1.26%,-0.02%,2596.17,0.05,6984,23.46,23.83,23.82,23.49,23.82,1.53%
"AACG","Consumer Defensive","Education & Training Services",8.84,0.91,0.05,-95.88%,-0.43%,14.93,0.09,67,0.82,0.82,0.87,0.87,0.81,-0.43%
"AACI","Financial","Shell Companies",1.58,0.00,0.10,-8.22%,0.01%,29.11,1.48,2149,11.50,11.50,11.50,11.50,11.50,0.00%
"AACT","Financial","Shell Companies",50.00,0.01,0.02,-0.60%,0.00%,298.48,0.00,0,10.69,10.69,10.69,10.69,10.69,0.00%
"AADI","Healthcare","Biotechnology",17.48,3.34,0.09,-98.55%,2.80%,223.62,1.28,14363,1.43,1.43,1.43,1.43,1.47,2.80%
"AADR","Financial","Exchange Traded Fund",,,0.54,-8.29%,0.00%,0.91,0.07,3,63.19,63.61,63.61,63.61,63.61,0.66%
"AAGR","Consumer Defensive","Farm Products",15.65,0.45,0.04,-98.46%,0.00%,1352.33,1.03,69613,0.17,0.17,0.17,0.17,0.17,0.92%
"AAL","Industrials","Airlines",646.72,2.66,0.31,-82.01%,-0.38%,32839.56,3.70,6081550,11.15,10.67,10.68,10.61,10.63,-4.67%
"AAMC","Financial","Mortgage Finance",0.86,2.33,0.27,-99.73%,0.00%,7.52,0.20,74,1.85,1.89,1.89,1.89,1.89,2.14%
"AAME","Financial","Insurance - Life",3.86,0.06,0.08,-90.17%,-0.63%,4.86,0.43,105,1.56,1.58,1.56,1.56,1.57,0.64%
"AAN","Industrials","Rental & Leasing Services",30.21,1.67,0.19,-73.38%,0.10%,580.52,0.79,22831,9.95,9.97,9.99,9.99,9.98,0.30%
"AAOI","Technology","Communication Equipment",35.51,5.43,0.67,-90.93%,0.00%,1897.94,0.33,31444,9.01,9.38,9.35,9.35,9.38,4.05%
